SlNo,ScenarioID,Mode,Start,End,Video_Size,Battery,Latency,Run_Count,Power
1,T_CL11,Local,2021-01-07 21:52:45,2021-01-07 21:54:54,120,100,NULL,1,0
2,T_CL12,Local,2021-01-07 21:55:46,2021-01-07 21:57:38,120,100,NULL,2,0
3,T_CL13,Local,2021-01-07 21:58:11,2021-01-07 21:59:47,120,100,NULL,3,0
4,T_CL21,Local,2021-01-07 22:00:50,2021-01-07 22:04:47,300,100,NULL,1,0.0134
5,T_CL22,Local,2021-01-07 22:08:03,2021-01-07 22:11:50,300,99,NULL,2,0.0052
6,T_CL23,Local,2021-01-07 22:19:12,2021-01-07 22:23:34,300,99,NULL,3,0.0146
7,T_CL31,Local,2021-01-07 22:28:51,2021-01-07 22:36:47,600,98,NULL,1,0.05722
8,T_CL32,Local,2021-01-07 22:46:36,2021-01-07 22:54:31,600,95,NULL,2,0.03
9,T_CL33,Local,2021-01-07 22:57:47,2021-01-07 23:05:38,600,92,NULL,3,0
10,T_CL41,Local,2021-01-07 23:09:16,2021-01-07 23:22:43,900,89,NULL,1,99.6
11,T_CL42,Local,2021-01-07 23:32:07,2021-01-07 23:43:51,900,84,NULL,2,68.7
12,T_CL43,Local,2021-01-07 23:47:11,2021-01-07 23:59:46,900,80,NULL,3,107
13,T_CL51,Local,2021-01-08 0:08:52,2021-01-08 0:26:47,1200,75,NULL,1,167
14,T_CL52,Local,2021-01-08 0:30:31,2021-01-08 0:48:32,1200,68,NULL,2,172
15,T_CL53,Local,2021-01-08 1:00:37,2021-01-08 1:28:22,1200,62,NULL,3,118
16,T_C11,Wifi,2021-01-08 12:39:00,2021-01-08 12:39:55,120,69,313.6,1,5.45
17,T_C12,Wifi,2021-01-08 12:44:28,2021-01-08 12:45:22,120,69,304.4,2,4.87
18,T_C13,Wifi,2021-01-08 12:50:09,2021-01-08 12:51:33,120,69,263,3,18
19,T_C21,Wifi,2021-01-08 12:57:38,2021-01-08 12:59:44,300,69,312.2,1,17.8
20,T_C22,Wifi,2021-01-08 13:04:24,2021-01-08 13:06:13,300,68,313,2,14
21,T_C23,Wifi,2021-01-08 13:10:49,2021-01-08 13:13:22,300,67,314.6,3,20.7
22,T_C31,Wifi,2021-01-08 13:16:57,2021-01-08 13:20:46,600,67,307,1,43.2
23,T_C32,Wifi,2021-01-08 13:24:35,2021-01-08 13:28:21,600,66,322,2,40.3
24,T_C33,Wifi,2021-01-08 13:31:21,2021-01-08 13:35:09,600,65,313.8,3,42.2
25,T_C41,Wifi,2021-01-08 13:36:29,2021-01-08 13:42:42,900,62,309.3,1,68.4
26,T_C42,Wifi,2021-01-08 13:43:09,2021-01-08 13:49:33,900,60,314.6,1,76.8
27,T_C43,Wifi,2021-01-08 13:50:59,2021-01-08 13:56:52,900,59,247,1,66
28,T_C51,Wifi,2021-01-08 13:59:56,2021-01-08 14:11:42,1200,54,309.3,1,103
29,T_C52,Wifi,2021-01-08 14:13:59,2021-01-08 14:26:11,1200,51,389.3,1,98.8
30,T_C53,Wifi,2021-01-08 14:30:59,2021-01-08 13:13:59,1200,46,419.7,1,90.4
