Sl,ID,Mode,Start,End,Video_Size,Battery,Latency,Run_COUNT,Power
1,T_CL11,Local,2021-01-08 16:58:08,2021-01-08 16:58:08,120,82,NULL,1,0.831
2,T_CL12,Local,2021-01-08 17:01:17,2021-01-08 17:01:18,120,82,NULL,2,0.413
3,T_CL13,Local,2021-01-08 17:01:19,2021-01-08 17:01:20,120,82,NULL,3,0.839
4,T_CL21,Local,2021-01-08 17:06:29,2021-01-08 17:06:30,300,83,NULL,1,0.44
5,T_CL22,Local,2021-01-08 17:09:49,2021-01-08 17:09:50,300,83,NULL,2,0
6,T_CL23,Local,2021-01-08 17:46:56,2021-01-08 17:46:57,300,88,NULL,3,0
7,T_CL31,Local,2021-01-08 17:50:32,2021-01-08 17:50:33,600,88,NULL,1,0
8,T_CL32,Local,2021-01-08 17:53:21,2021-01-08 17:53:22,600,88,NULL,2,0
9,T_CL33,Local,2021-01-08 18:04:11,2021-01-08 18:04:12,600,89,NULL,3,0.552
10,T_CL41,Local,2021-01-08 18:07:46,2021-01-08 18:07:48,900,89,NULL,1,0
11,T_CL42,Local,2021-01-08 18:10:55,2021-01-08 18:10:57,900,89,NULL,2,0
12,T_CL43,Local,2021-01-08 18:13:50,2021-01-08 18:13:52,900,89,NULL,3,0
13,T_CL51,Local,2021-01-08 18:16:40,2021-01-08 18:16:43,1200,90,NULL,1,0
14,T_CL52,Local,2021-01-08 18:19:35,2021-01-08 18:19:38,1200,90,NULL,2,0
15,T_CL53,Local,2021-01-08 18:22:10,2021-01-08 18:22:13,1200,90,NULL,3,0
16,T_C11,Wifi,2021-01-08 18:27:37,2021-01-08 18:27:56,120,90,277.8,1,13
17,T_C12,Wifi,2021-01-08 18:28:25,2021-01-08 18:28:53,120,90,292.6,2,13.5
18,T_C13,Wifi,2021-01-08 18:33:03,2021-01-08 18:33:25,120,90,314.2,3,15
19,T_C21,Wifi,2021-01-08 18:36:09,2021-01-08 18:36:46,300,90,309.6,1,34.4
20,T_C22,Wifi,2021-01-08 18:39:31,2021-01-08 18:40:07,300,90,303.4,2,34.6
21,T_C23,Wifi,2021-01-08 18:43:19,2021-01-08 18:43:46,300,90,313.4,3,32.4
22,T_C31,Wifi,2021-01-08 18:49:30,2021-01-08 18:50:27,600,90,312.4,1,67
23,T_C32,Wifi,2021-01-08 18:53:10,2021-01-08 18:53:48,600,90,318.2,2,60.8
24,T_C33,Wifi,2021-01-08 18:56:26,2021-01-08 18:56:59,600,90,307.4,3,61.5
25,T_C41,Wifi,2021-01-08 19:00:02,2021-01-08 19:00:56,900,90,317,1,100
26,T_C42,Wifi,2021-01-08 19:04:55,2021-01-08 19:05:50,900,90,303.8,2,84.6
27,T_C43,Wifi,2021-01-08 19:09:33,2021-01-08 19:10:33,900,90,292.4,3,95.7
28,T_C51,Wifi,2021-01-08 19:13:15,2021-01-08 19:14:18,1200,90,305.4,1,136
29,T_C52,Wifi,2021-01-08 19:18:22,2021-01-08 19:19:38,1200,90,306.2,2,143
30,T_C53,Wifi,2021-01-08 19:23:53,2021-01-08 19:24:52,1200,90,314.6,3,119
