Sl No,ID,Mode,Start,End,Video_Size,Battery,Latency,Run_Count,Power
1,T_CL11,Local,2021-01-07 13:53:16,2021-01-07 13:53:17,120,100,NULL,1,0
2,T_CL12,Local,2021-01-07 14:14:22,2021-01-07 14:14:23,120,100,NULL,2,0.3
3,T_CL13,Local,2021-01-07 14:37:32,2021-01-07 14:37:33,120,100,NULL,3,0
4,T_CL21,Local,2021-01-07 14:44:30,2021-01-07 14:44:31,300,100,NULL,1,0
5,T_CL22,Local,2021-01-07 15:42:55,2021-01-07 15:42:55,300,100,NULL,2,0
6,T_CL23,Local,2021-01-07 15:46:52,2021-01-07 15:46:53,300,100,NULL,3,0
7,T_CL31,Local,2021-01-07 15:57:19,2021-01-07 15:57:20,600,100,NULL,1,0
8,T_CL32,Local,2021-01-07 16:02:47,2021-01-07 16:02:48,600,100,NULL,2,0
9,T_CL33,Local,2021-01-07 16:06:15,2021-01-07 16:06:16,600,100,NULL,3,0
10,T_CL41,Local,2021-01-07 16:09:56,2021-01-07 16:09:57,900,100,NULL,1,0
11,T_CL42,Local,2021-01-07 16:13:53,2021-01-07 16:13:55,900,100,NULL,2,0
12,T_CL43,Local,2021-01-07 16:16:48,2021-01-07 16:16:49,900,100,NULL,3,0
13,T_CL51,Local,2021-01-07 16:19:48,2021-01-07 16:19:50,1200,100,NULL,1,1.2
14,T_CL52,Local,2021-01-07 16:22:36,2021-01-07 16:22:38,1200,100,NULL,2,2.6
15,T_CL53,Local,2021-01-07 16:25:10,2021-01-07 16:25:12,1200,100,NULL,3,1.5
16,T_C11,Wifi,2021-01-07 16:55:03,2021-01-07 16:56:21,120,100,288.6,1,13.1
17,T_C12,Wifi,2021-01-07 17:00:11,2021-01-07 17:01:30,120,100,293,2,14.6
18,T_C13,Wifi,2021-01-07 17:06:35,2021-01-07 17:08:15,120,100,306,3,15.4
19,T_C21,Wifi,2021-01-07 17:11:29,2021-01-07 17:15:02,300,100,302.8,1,11.3
20,T_C22,Wifi,2021-01-07 17:19:08,2021-01-07 17:22:46,300,100,315.6,2,9.4
21,T_C23,Wifi,2021-01-07 17:29:23,2021-01-07 17:33:16,300,100,261.4,3,10.6
22,T_C31,Wifi,2021-01-07 17:55:10,2021-01-07 18:00:04,600,100,287.4,1,35.6
23,T_C32,Wifi,2021-01-07 18:11:31,2021-01-07 18:15:58,600,100,296.4,2,75.5
24,T_C33,Wifi,2021-01-07 18:37:52,2021-01-07 18:45:51,600,100,314.8,3,44.5
25,T_C41,Wifi,2021-01-07 18:51:33,2021-01-07 19:01:15,900,100,282.8,1,82.7
26,T_C43,Wifi,2021-01-07 19:05:36,2021-01-07 19:17:06,900,99,293.2,2,81.7
27,T_C51,Wifi,2021-01-07 19:24:15,2021-01-07 19:37:04,900,97,311.2,3,149
28,T_C52,Wifi,2021-01-07 19:40:04,2021-01-07 19:56:40,1200,95,298.6,1,163
29,T_C53,Wifi,2021-01-07 20:04:40,2021-01-07 20:22:23,1200,92,298.4,2,158
